gene_name	PPIdegree	TF_outdeg	TF_indeg
MFSD4A	0	0	0
NUCKS1	3	0	0
PM20D1	1	0	0
RAB29	1	0	0
RAB7B	0	0	0
RHEX	3	0	0
SLC26A9	1	0	0
SLC41A1	1	0	0
SLC45A3	0	0	0
TBX20	2	0	0
DBX1	1	0	0
MKLN1	3	0	0
DMXL1	3	0	0
DTWD2	3	0	0
PIK3C3	4	0	0
ACHE	1	0	1
ACTL6B	3	0	0
AGFG2	2	0	0
AP4M1	2	0	0
AZGP1	5	0	0
C7orf61	0	0	0
CNPY4	1	0	0
COPS6	24	0	0
EPHB4	3	0	0
EPO	2	0	0
FBXO24	1	0	0
GAL3ST4	0	0	0
GIGYF1	13	0	0
GJC3	0	0	0
GNB2	18	0	0
GPC2	0	0	0
LAMTOR4	0	0	0
LRCH4	0	0	0
MBLAC1	2	0	0
MCM7	26	0	0
MEPCE	37	0	0
MOSPD3	1	0	0
MUC12	0	0	0
MUC17	1	0	0
MUC3A	0	0	0
NYAP1	1	0	0
PCOLCE	1	0	0
PILRA	2	0	0
PILRB	1	0	0
POP7	2	0	0
PPP1R35	2	0	0
PVRIG	2	0	0
SAP25	0	0	0
SERPINE1	2	0	1
SLC12A9	1	0	0
SPDYE3	0	0	0
SRRT	7	0	0
STAG3	3	0	0
TAF6	4	0	0
TFR2	2	0	0
TRAPPC14	0	0	0
TRIM4	2	0	0
TRIM56	10	0	0
TRIP6	13	0	0
TSC22D4	10	0	0
UFSP1	3	0	0
ZAN	0	0	0
ZCWPW1	0	0	0
ZKSCAN1	0	0	0
ZNF3	1	0	0
ZSCAN21	2	0	0
CNTNAP5	0	0	0
ACOT7	5	0	0
CHD5	3	0	0
ESPN	0	0	0
GPR153	0	0	0
HES2	0	0	0
HES3	0	0	0
ICMT	4	0	0
KCNAB2	3	0	0
NPHP4	17	0	0
RNF207	1	0	0
RPL22	19	0	0
TNFRSF25	0	0	0
OTOL1	0	0	0
ARL6IP5	4	0	0
EOGT	0	0	0
FRMD4B	0	0	0
LMOD3	0	0	0
TAFA4	3	0	0
TMF1	4	0	0
UBA3	2	0	0
ADCK1	7	0	0
ALKBH1	0	0	0
SLIRP	12	0	0
SNW1	44	0	0
ADM	2	0	0
AMPD3	3	0	0
LYVE1	2	0	0
MTRNR2L8	0	0	0
RNF141	0	0	0
SBF2	2	0	0
CIITA	1	1	0
CLEC16A	0	0	0
DEXI	2	0	0
EMP2	0	0	0
NUBP1	1	0	0
TEKT5	4	0	0
TVP23A	0	0	0
ACVR2A	5	0	0
ABHD10	2	0	0
C3orf52	9	0	0
GCSAM	0	0	0
PHLDB2	11	0	0
PLCXD2	1	0	0
TAGLN3	3	0	0
TMPRSS7	1	0	0
BRD9	4	0	0
NKD2	4	0	0
SLC12A7	3	0	0
SLC6A18	0	0	0
SLC6A19	0	0	0
TERT	10	0	3
TRIP13	12	0	0
ZDHHC11	3	0	0
ZDHHC11B	0	0	0
ZHX2	4	0	0
NCOA2	4	0	0
PRDM14	8	0	0
AKT2	5	0	0
BLVRB	1	0	0
C19orf47	3	0	0
CCNP	0	0	0
HIPK4	2	0	0
MAP3K10	3	0	0
PLD3	4	0	0
PRX	4	0	0
SERTAD1	8	0	0
SERTAD3	5	0	0
SHKBP1	4	0	0
SPTBN4	8	0	0
TTC9B	1	0	0
ZNF780A	1	0	0
CEBPZ	16	0	0
CEBPZOS	0	0	0
EIF2AK2	14	0	0
GPATCH11	1	0	0
HEATR5B	1	0	0
NDUFAF7	1	0	0
STRN	8	0	0
SULT6B1	0	0	0
PCDH7	5	0	0
NRXN3	3	0	0
DNAJB9	0	0	0
PNPLA8	3	0	0
THAP5	0	0	0
DPF3	4	0	0
FLRT2	1	0	0
CCDC81	0	0	0
EED	63	0	0
HIKESHI	0	0	0
EMILIN3	1	0	0
LPIN3	8	0	0
PLCG1	19	0	0
TOP1	19	0	0
ZHX3	3	0	0
DCTD	2	0	0
BCAT1	1	0	0
DKK1	0	0	0
C1orf185	0	0	0
CDKN2C	5	0	0
EPS15	14	0	0
OSBPL9	1	0	0
RNF11	18	0	0
TTC39A	0	0	0
CAMK2D	13	0	0
BEST1	0	0	1
DAGLA	2	0	0
FADS1	0	0	0
FADS2	3	0	0
FADS3	2	0	0
FEN1	6	0	0
FTH1	2	0	0
MYRF	0	0	0
RAB3IL1	2	0	0
TMEM258	0	0	0
BAZ2B	1	0	0
TANC1	4	0	0
WDSUB1	0	0	0
GOSR2	8	0	0
RPRML	0	0	0
WNT3	0	0	0
WNT9B	0	0	0
C3orf14	0	0	0
CADPS	1	0	0
