SIGNET_SOURCE	SIGNET_DEST
GBF1	AHNAK ARHGEF16 BET1 ELP6 FERMT2 LARP1 MRTFB NACA PARVA PDLIM5 PLEC PUF60 SHC1 SLK SPART STK38 TANC1 TLN1 TTC28 VARS2
GCKR	CDKN1A
GEMIN7	EED SHC1
GFRA3	ZBTB7B
GID4	JPH4 MKLN1
GIGYF1	CBY1 CDC25C CEP85 CPEB4 FAM53C LARP1 LATS2 LPIN3 MAPKAP1 MTFR1L PHLDB2 SH3PXD2A SIPA1L1 SPAG8 ZC3H7A
GIMAP1	SCN3B TMEM79
GIMAP5	SCN3B TSPAN18
GINS3	CCNL1 CCT3 GSS MCM7 TRAPPC6A
GIT2	E2F2 RCOR1
GJA1	ACTR1A ATP2A2 ATP5F1B BET1 CALM1 CALM2 CALM3 CAND2 CAPZA2 CASQ2 CAV1 CDH2 CLTC CREB3 EEF1G ELP6 EPS15 GLS2 GOT2 KPNA1 L1TD1 MFN1 MYH7 NRM PIK3C3 PLD3 PLN PRKCA RYR2 SCN10A SLC8A1 SOD2 TUBA4A TUBB USP8 VPS29
GJC2	CHRM2
GLB1L	MEPCE PPP1CC
GLIPR2	CAV1 EED GPN3 ZNF800
GLIS2	AKAP9 CBLC LATS2 MET NME7 NSD3 RAF1 TERT
GLMP	ADCK1 GPD1L INTS5 MTX1 TUBA4A
GLS2	GJA1 SNTA1
GLTP	CMTM5 SHKBP1
GMPPA	GMPPB INS
GMPPB	BLMH CEBPZ DMC1 GMPPA GPN1 IBA57 MCM7 NIF3L1 PDE3A XPOT
GNB2	CCT3 CCT6B CD81 CDKN1A CHMP4B CTSE EED GNG11 GNG3 ID3 KCNJ5 KIF20A L1TD1 PPP1CC RAF1 RNF11 SGO2 TCTN1 USP50
GNB4	CDK18 CHMP4B FBXO6 GNG11 GNG3 KCNJ5 KIF20A MTCH1 MTNR1A NPC1 TFAP4
GNG11	GNB2 GNB4 REP15
GNG3	GNB2 GNB4 TRIM74
GNPNAT1	CCNL1 GPD1L HSD17B6 MAPT
GNS	CASP7 FBXO6
GOSR2	ARF1 BET1 DKK3 MFF ST7 STX5 TCTN3 TRDN
GOT2	CAV3 CCNA1 CTNNBIP1 CYC1 GJA1 KCNQ1 MEPCE SHOC2 SPRYD4
GPAA1	ATP5F1B TCTN3
GPATCH11	RPS8
GPATCH2	CCNL1 CSNK2A2 SMC3
GPATCH4	CEBPZ NES NGDN NLE1 NMNAT1 PRR11 RPL26L1 RPL30 RPL32 RPS8 SLX4 ZNF512
GPD1L	GLMP GNPNAT1 MYH7B SCN5A
GPN1	AGFG1 GMPPB GPN3 POLR2G PUF60 RPRD1B
GPN3	GLIPR2 GPN1 POLR2G RPRD1B SLX4
GPR183	AMIGO1 EIF2B4 NRXN3
GPR61	PMP22 SCN3B SLC12A7 SLC41A1
GRINA	KCNJ2
GSS	GINS3 HPGDS
GTF2H4	POLR2G PRDM11 RNF11
GTF3C2	CASQ2 CCNL1 MCM7 SMARCAD1 SNW1
GTPBP1	DCP1A HABP4 IGF2BP2 MARF1 NXF1
GUK1	NXF1 PUF60
HABP2	COL4A3 COL4A4 TMPRSS7
HABP4	C1orf35 DHX16 GTPBP1 PRKCA PRKCD PRKCZ
HAND1	ACHE NKX2-5 PMP22 PRKCA
HCN3	EED HCN4
HCN4	CAV3 HCN3
HEATR5B	SCRIB
HGH1	CCT3 CEBPZ DDX17 SLK VOPP1
HINT2	ATP5F1B FLAD1 IBA57 INS METTL17 MRPL47 MRPL55 MRPS18B MRPS35 PAM16 PNPLA8 SLIRP VARS2
HIPK4	MCM7 RAF1
HIVEP1	CLK1 SERTAD1 TMEM176A
HLF	CREBBP
HNRNPC	AKAP9 CCNL1 CEP85 CHMP4B CSNK2A2 EED EIF2AK2 FBXO6 HNRNPR INS KIF20A L1TD1 MAPT MDC1 MEPCE NFKB2 NXF1 OBSL1 PPP1CC PUF60 RALY SHC1 SNW1 TOMM22 TOMM40 TOP1
HNRNPR	CCNL1 CHMP4B EED FBXO6 HNRNPC KIAA2013 KIF20A MAPT MEPCE METTL17 MKRN2 MPV17 MRPS35 MTA2 NCL OBSL1 RALY RIOK1 RNF123 SLIRP SMARCAD1 SNW1 TMEM179B TOMM22 TOP1 ZBTB7B
HNRNPUL2	EED INS KIF20A MDC1 MEPCE OBSL1 RALY RIOK1
HOMEZ	DHX16 FARS2 NXF1 TBC1D30
HPGDS	GSS
HPS6	MARK4
HSD17B3	AHNAK PPP1CC
HSD17B6	GNPNAT1
HTR2A	ARF1 CAV1
HVCN1	CREB3
IBA57	GMPPB HINT2 METTL17 SLIRP
ICMT	INS MUC1 OXSR1 RAD51D
ID2	ELK4 FGFR1 MET NKX2-5 PDLIM5 PMP22 PRKCA SREBF1 STK38 TCHP TUBB
ID3	COPS6 ELK4 GNB2 LMO4 NKX2-5 NPHP4 PDLIM5 PRDM14 PUF60 SREBF1 ZNF3
IER3	FKBP7
IFT172	IFT81 TSC22D4
IFT81	IFT172 JPH4
IGF2BP2	CBX6 CCNL1 CPEB4 EED EIF2AK2 GTPBP1 KIF20A LARP1 MEPCE METTL17 MKRN2 MRPS18B MRPS35 PABPN1 PUF60 RBMS2 SMG5 TRIM56 ZC3H7A
IGFBP3	CAV1 PRKCA
INHA	ACVR2A
INKA1	BSCL2 KIF9 TRIM63
INS	ABCF1 ABCF2 CAPZA2 CDK5 CTSE CYC1 EIF2AK2 EIF2B4 EIF2S2 FADS2 GANAB GMPPA HINT2 HNRNPC HNRNPUL2 ICMT LARP1 LIG3 MAPKAP1 MTCH1 MYD88 NKX6-1 PABPN1 PDLIM5 PUF60 RDH14 RPL22 RPL30 RPL32 RPS8 SLIRP SMC3 SRSF3 TAF6L TNS3 TOP1 TUBA4A UBXN1 VPS29
INTS5	CNOT1 GLMP NABP1 OBSL1 POLR2G TOMM22
IP6K1	CLK1 RAB3IL1
IQCA1L	OBSL1
IQGAP3	CALM1 CALM2 CALM3
IQSEC1	APOE MCM7 PMP22 SLC6A4
ISG20L2	EED PLCG1 SUCO
JOSD1	CALM1 CALM2 CALM3 TRIM54 TRIM63
JPH4	AGAP3 CLASRP CLK2 CSNK2A2 GID4 IFT81 MICAL2 OBSL1 POM121 VANGL1
KANK4	MYLIP TLN1 TRAPPC6A TRIM11
KANSL1	TPM2
KCNAB2	PRKCZ SLC39A2 SLC6A4
KCND3	KCNH2 SCN1B
KCNE1	CALM1 CALM2 CALM3 KCNH2 KCNQ1 PRKCA
KCNE2	CACNA1C KCNH2 KCNQ1
KCNH2	ALG10B ATP1B1 CACNB2 CAV1 CAV3 KCND3 KCNE1 KCNE2 RFFL RNF207 TTN
KCNJ1	KCNJ5 PRKCD
KCNJ16	KCNJ2
KCNJ2	CAV3 EPPK1 GRINA KCNJ16 SCN5A SCRIB SNTA1 STK38
KCNJ5	AKAP9 ERI3 GNB2 GNB4 KCNJ1 LANCL2 PLCG1
KCNN2	CALM1 CALM2 CALM3
KCNQ1	AKAP9 AMPD3 ANK2 ATP1B1 CALM1 CALM2 CALM3 CAND2 CLTC FERMT2 GOT2 KCNE1 KCNE2 MYH11 NCL TKT TLN1 UNC45B
KCTD18	COPS6
KCTD20	AKT2 MARK4 PPP1CC
KDM3B	CHMP4B CREBBP CSTA MAPT PLOD1 SPAG8 TH TRIM11
KIAA2013	AMIGO1 BSCL2 HNRNPR KPNA1
KIDINS220	BET1 CHMP4B CLTC KIF20A
KIF20A	ABCF1 AHNAK ANK2 ARPC3 ATP5F1B C1orf35 CALM1 CAPZA2 CAV1 CDH9 CLTC DDX17 DES DHX16 DSP EED EEF1G EMSY EPPK1 FAM83H FLOT1 GNB2 GNB4 HNRNPC HNRNPR HNRNPUL2 IGF2BP2 KIDINS220 LARP1 MDC1 MRPS18B MUC17 MYH11 NCL NES NOLC1 NOS3 NSD3 PHLDB2 PLCD1 PLEC PPP1CC PPP1R18 PTPN23 PUF60 RAF1 RALY RPL22 RPL26L1 RPL32 RPS8 RSL1D1 SHC1 SPRYD4 SPTBN4 SRSF3 SSH2 STAG3 TOMM40 TOP1 TPM2 TRIM4 TRIM54 TRIP13
KIF2C	EED MST1 NPHP4 NXF1 SGO2 SNW1
KIF9	BLZF1 INKA1 TRIM54 ZNF436
KIRREL3	ATP1B1
KLF12	PMP22
KLHL14	FLAD1
KLHL18	COPS6 DHX16 EEF1G
KLHL42	COPS6 SERTAD1 SERTAD3 TRIM54
KPNA1	CCNL1 DUSP5 EED GJA1 KIAA2013 LMO4 MEPCE MTA2 NMNAT1 PAM RELB SENP2 SLX4 SNW1 STYX TSSC4
KRTCAP2	CREB3 TCTN3
L1TD1	ARPC3 CCT3 CLTC DDX17 DNAJA3 DSP EEF1G FLOT1 GJA1 GNB2 HNRNPC MCM7 MRPS18B MRPS35 NCL NOLC1 PLEC RALY RPL22 RPL32 RPS8 SRSF3 TUBB
LANCL2	CCNL1 KCNJ5 MAPT NXF1
LAPTM4B	MET
LARP1	CBY1 ELK4 GBF1 GIGYF1 IGF2BP2 INS KIF20A MEPCE PABPN1 PPP1CC PRR11 RMC1 RNF123 RPS8 SH3PXD2A SIPA1L1 SLC6A4 ZBTB7B
LATS2	ALDH18A1 ANAPC7 CBLC CCDC88C CDC23 CDKN1A CDKN2C CEP85 DNAJA3 GIGYF1 GLIS2 MET MST1 NME7 PHLDB2 PLOD1 RAF1 SIPA1L1 SKI SORBS1 TBK1 TCHP
LBHD1	OBSL1
LBP	FTH1 PITX3 TSC22D4
LDB1	LMO4 ZNF593
LIG3	ABCF1 EED EXOSC4 INS LRIG1 MDC1 MTDH NXF1 PLCG1 PVRIG RNF123 TCF7L2 ZBTB7B
LIPH	C3orf52 FAT1 PRIM1 TUBA4A
LITAF	CACNA1C FGFR1 RASSF3 TMEM176A VILL
LMO4	DES GABPB1 ID3 KPNA1 LDB1 NXF1 PITPNB RBBP8 TRIM54
LPIN3	CBY1 CDC25C CSNK2A2 GIGYF1 MAPKAP1 MEPCE NOLC1 SH3PXD2A SIPA1L1
LRCH1	SLC6A4
LRIG1	CNPY4 LIG3 MET MTFR1L SCRIB USP8
LTN1	EED FEN1 MRPL55 MRTFB PLD3 PTPRN RNF11 RPL30 SSR1 TPGS2 VASN
LYVE1	SLC30A2 SLC38A7
MAD2L2	ADAM15 ALDH18A1 ATP2A2 CDK5 CLTC DNAJA3 DTWD2 EIF2S2 EMSY EPPK1 NXF1 POM121 RAI1 SLC3A2 SMC3 SUPT7L TAF6L TCF7L2 TFAP4 TFR2 TOMM40 TRIM54 TRIP13 TUBA4A
MAF1	CSNK2A2
MAP3K10	CLTC CNKSR1 TUBB
MAP3K7	CALM1 CALM2 CALM3 CCNL1 CLTC EIF2AK2 MYD88 SHARPIN TH THBS3 TRAIP TUBB ZNF593
MAPK15	CCT3 CCT6B MAPT
MAPKAP1	CBY1 CDC25C FAM53C GIGYF1 INS LPIN3 PHLDB2 PRKCA SH3PXD2A SIPA1L1 STK38
MAPT	ABCF1 ABCF2 ACTR1A AHNAK APOE ARHGEF40 ATP1B1 ATP2A2 ATP5F1B C11orf98 CALM1 CALM2 CALM3 CAMKV CAPZA2 CASP7 CASP8 CCT3 CCT6B CDK5 CLTC CREBBP CUEDC2 DDX17 EEF1G EIF2AK2 EIF2S2 FBXO2 FEN1 FTH1 GNPNAT1 HNRNPC HNRNPR KDM3B LANCL2 MAPK15 MARK4 NCL NDRG2 NOLC1 PLCG1 PLEC PPM1G PPP1CC PRKCA PRKCD PRKCZ PTGES3 PUF60 RALY RPL22 RPL26L1 RPL30 RPL32 RPS8 SGIP1 SLC3A2 SLC4A4 SOD2 SOHLH2 SPTBN4 SRSF3 STMN1 TKT TRAP1 TUBA4A TUBB VARS2 VILL ZFHX2
MARF1	CEP85 CLTC CNOT1 CPEB4 CREBBP DCP1A DCP1B GTPBP1 MKRN2 POM121 TBK1 TRIM56 TRIP6 ZC3H7A
MARK4	HPS6 KCTD20 MAPT MST1 SCRIB SLC6A4 TUBA4A TUBB
MATN2	COL4A3 COL4A4 RPL30
MBLAC1	FNDC8 TRIP13
MCM7	ACTR1A AHNAK ASF1A CCDC88C CCNL1 CCT3 CDKN1A DTX3L EED FBXO6 GINS3 GMPPB GTF3C2 HIPK4 IQSEC1 L1TD1 MST1 NXF1 OBSL1 ORC2 PLEC PRKCD SIPA1L1 SNTA1 SNW1 TRAIP TRIM54 TRIM63 VPS29 ZC3H7A
MCM9	THBS3
MDC1	ANAPC7 ANK2 ASF1A ATP2A2 CAVIN2 CDC23 CREBBP EED EMSY HNRNPC HNRNPUL2 KIF20A LIG3 METTL17 NCL OBSL1 PRIM1 SENP2 SLC4A1AP SLX4 SSR1 TCF7L2 TFAP4 TOP1 TRIP13 USP13
MED13L	SORT1
MEF2D	CASP7 NXF1
MEGF6	RNF123
MEIS1	CREBBP FAM222A PBX3 XCL1
MEP1A	MEP1B
MEP1B	MEP1A PRKCD TM4SF20
MEPCE	ACTR1A ALDH18A1 ATP5F1B CCT3 CLTC CSNK2A2 DDX17 EEF1G EXOG GLB1L GOT2 HNRNPC HNRNPR HNRNPUL2 IGF2BP2 KPNA1 LARP1 LPIN3 MRPL55 MRPS18B MRPS35 MTA2 NCL POP7 PPM1G PSMA5 PSMC6 PUF60 RPL22 RPL26L1 RPL30 RPL32 RPS8 RSL1D1 SLX4 SMC3 SRSF3 STK38 TOP1 TRIP13 TTN TUBA4A TUBB TUT1 ZNF593
MET	CALM1 CBLC DNAJA3 EED FBXO6 GLIS2 ID2 LAPTM4B LATS2 LRIG1 MUC1 OBSL1 PLCG1 PLEC RAF1 SCAP SCRIB SH2D1B SHC1 SOCS6 TBX5 TERT TNS3
METTL17	ATP5F1B FLAD1 HINT2 HNRNPR IBA57 IGF2BP2 MDC1 MRPL47 MRPL55 MRPS18B MRPS35 PAM16 PNPLA8 SLIRP SRSF3 TRIP6 VARS2
METTL18	CCT3 CCT6B RIOK1
METTL25	RPGRIP1
MFF	BET1 C3orf52 CMTM5 GOSR2 MOSPD3 MTCH1 NRM PLN SLC7A8 TOMM22
MFN1	GJA1 MFN2 MTCH1 TOMM22
MFN2	CLTC MFN1 MTCH1 NXF1 PSMA5 PSMC6 TCHP
MICAL2	CA9 JPH4 NOS3 PLXNA2 PTPRN TRIM54
MICU2	TUBB
MIIP	STK16 TCHP TRIM63 TRIP6
MITF	CREBBP RBM6 XCL1
MKLN1	CLK2 GID4 SLX4
MKRN2	CEP85 CLK1 CNOT1 CPEB4 HNRNPR IGF2BP2 MARF1 NHLRC2 NXF1 SHARPIN SMG5 SMG8 TRIM56 ZC3H7A
MMD	AGTRAP
MN1	ANAPC7
MON1A	RMC1
MOSPD3	MFF
MPPED2	CAGE1 TRIP13
MPV17	HNRNPR NDUFB5 PUF60 TOMM22
MRPL47	BET1 CDC14B CYC1 HINT2 METTL17 MRPL55 RPL26L1 RPS8 SLIRP TOMM22
MRPL55	FLOT1 HINT2 LTN1 MEPCE METTL17 MRPL47 PRKCZ SLIRP SORT1 TOMM40
MRPS18B	BET1 CD81 HINT2 IGF2BP2 KIF20A L1TD1 MEPCE METTL17 MRPS35 PPP1CC SLIRP
MRPS35	ATP1B1 ATP6V1C1 CCDC59 CDC14B DUSP5 FGD2 HINT2 HNRNPR IGF2BP2 L1TD1 MEPCE METTL17 MRPS18B NPC1 OBSL1 RPS8 SLIRP TCF7L2 TOMM22 ZNF593 ZNF707
MRTFB	GBF1 LTN1 NHLRC2 NPHP4
MST1	ARF1 AZGP1 CCT3 CLTC CNKSR1 EED EPPK1 FEN1 KIF2C LATS2 MARK4 MCM7 MST1R NCL RASSF3 RNF123 SCRIB SOD2 STRN THAP12 TUBA4A TUBB
MST1R	FGFR1 MST1 PLCG1 PPP1CC SHC1
MTA2	AHNAK BCL11A CAMK2D CDK18 CHD5 CPNE5 EED EEF1G HNRNPR KPNA1 MEPCE OBSL1 SLIRP SMARCAD1 SNW1 TCF7L2 TSSC4 ZBTB7B ZNF219 ZNF800
MTCH1	ANAPC7 ATP1B1 CDC23 FGFR1 GNB4 INS MFF MFN1 MFN2 MTFR1L PRKCD PSMC6 SCN3B SLC6A4 TOMM22 TOMM40
MTDH	ACTL6A AGAP3 CDC14B COL4A4 CREBBP CRIM1 DSP DUSP5 EEF1G EGR1 EIF2S2 EXOSC4 LIG3 NCL NFKB2 NPC1 OBSCN PCDH7 PLEC PPFIA2 PTHLH RALY RNF123 SNN ST7 TBX5 TOP1 TRPC4AP ZBTB7B
MTFR1L	CBY1 GIGYF1 LRIG1 MTCH1 SLC6A4
MTHFR	TMEM223
MTNR1A	ASAP3 DDHD2 EEF1G EPS15 GBA2 GNB4 TLN1 TUBB VARS2
MTX1	ADCK1 GLMP NDUFB5 TOMM22 TOMM40
MUC1	BCL2L2 C3orf52 ICMT MET PAQR6 PLN PRKCD RFT1 SLC38A7
MUC17	KIF20A
MYBPHL	TRIM63
MYD88	CASP10 INS MAP3K7 STK38 TBK1 TRIP6 TUBB
MYH11	CHMP4B EED KCNQ1 KIF20A RWDD2B SHC1 SLX4 SMC3
MYH6	CCNL1 SORT1 TPM2 TRIM63
MYH7	GJA1 TLE3 TPM2
MYH7B	CACNA2D1 CYC1 GPD1L TRPC4AP
MYLIP	CASP10 KANK4 PAM PMP22 TSC22D4
NABP1	INTS5
NACA	ARHGAP24 ATP5F1B CAV3 CCNL1 EEF1G GBF1 NES NPHP4 PPP1R18 PSMC6 SNTA1
NAXE	ABHD10 CHMP4B
NCL	ABCF2 ACTL6A ANAPC7 CASP8 CBX6 CCNL1 CD81 CDKN1A CHMP4B CLK1 COPS6 CSNK2A2 DDX17 EED EXOSC4 HNRNPR KCNQ1 KIF20A L1TD1 MAPT MDC1 MEPCE MST1 MTDH NFKB2 NXF1 OBSL1 PPARGC1A PPP1CC PRKCZ PUF60 RIOK1 RNF123 RPL22 RPL26L1 RPS8 RSL1D1 SKI SMC3 SNW1 SPART SRSF3 TBX5 TERT TOMM40 TOP1 TRAIP TUBB ZBTB7B
NCOA2	CREBBP DDX17 NR3C2 TBK1
NDE1	CSNK2A2 NXF1 SMC3
NDRG2	ATP1B1 CAV3 MAPT NDRG4 SNTA1
NDRG4	AGTRAP CMTM5 NDRG2
NDUFAF7	NPPA
NDUFB3	CAV3 CYC1 FNDC4 NDUFB5
NDUFB5	MPV17 MTX1 NDUFB3 SORT1
NECTIN2	CD81 CTDSPL SYPL2 TOMM22
NES	CDK5 EGR1 GPATCH4 KIF20A NACA NXF1 OBSL1 PAM
NFKB2	BCL3 CALM1 CALM2 CALM3 CCT3 CLTC DNAJA3 DSP EED EPPK1 HNRNPC MTDH NCL NXF1 PSMC6 RELB RPL30 RPS8 TBK1 TUBB ZHX2
NGDN	CCT3 GPATCH4 RIOK1 RPS8 ZNF512
NHLRC2	ACOT7 AGAP3 APEH CYC1 EIF2AK2 EIF2S2 EPPK1 GANAB GBA MKRN2 MRTFB PLOD1 PRKCD PSMA5 RALY RNF11 SPTBN4 SRSF3 SUN2 TBK1 TEKT5 TKT TLN1 WIPF1
NIF3L1	AGFG1 CASP7 CDKN2C DCTD DDX17 DMC1 FLAD1 GMPPB NME7 RPRD1B STK16 TRIP13 TSC22D4
NKD2	CAV1 CDKN1A PMVK ZNF513
NKX2-5	HAND1 ID2 ID3 TBX5
NKX6-1	INS
NLE1	CHMP4B GPATCH4 OBSL1 RPL30 RSL1D1 WDR74 ZNF593
NME7	CPEB4 FLOT1 GLIS2 LATS2 NIF3L1 SPART TCHP
NMNAT1	CDC14B GPATCH4 KPNA1 OBSL1 RPL30 ZNF512
NOLC1	BRD9 CAMKV CCNL1 CEBPZ CHMP4B CSNK2A2 DDR1 EED KIF20A L1TD1 LPIN3 MAPT NXF1 OBSL1 RSL1D1 SNW1
NOS1AP	CAMKV PTPRN RHEX TOMM40 TRPC4AP
NOS3	APOE ASIC4 ATP1B1 CALM1 CALM2 CALM3 CAV1 CAV3 CHMP4B CNOT1 EMILIN3 KIF20A MICAL2 TXNDC11
NPC1	ABCB6 ABCC1 AGTRAP ATP1B1 ATP2A2 B3GAT3 CAV1 CLPTM1 CPNE5 FBXO6 FLOT1 GNB4 MRPS35 MTDH PSMA5 RER1 SCAMP3 SLC12A9 SLC3A2 SSR1 STK11IP UBAC2 ZDHHC20
NPHP4	CDH2 DSP EML3 ID3 KIF2C MRTFB NACA OBSCN PLD3 PLEC PPP1CC RAF1 RPGRIP1 SSR1 TRAP1 TTN TUBA4A TUBB
NPPA	NDUFAF7 NPR2 OBSCN PM20D1 PMVK SDR9C7
NPPB	NPR2 SERTAD3
NPR2	NPPA NPPB
NPTXR	ASF1A
NR3C2	CAV1 CREBBP NCOA2 PTGES3
NRAP	DES TLN1 TRDN TRIM63
NRBP1	CDKN1A PPP1CC TSC22D4
NRBP2	TSC22D4
NRM	EED FBXO6 GJA1 MFF PARP15 SLC30A2 SLC39A2 SUN2
NRXN3	CAMKV GPR183 TAFA4
NSD3	BRD9 CASP8 CBLC CDC14B GLIS2 KIF20A RPL30 SPAG8 TERT TRIM63
NSG2	APOC1 C3orf52
NSRP1	CDK18 PRKCZ
NUBP1	ATP5F1B
NUCKS1	CASP7 CDC14B ORC2
NXF1	ABCF2 ACTL6A ACTR1A ADCK1 AHNAK ALDH18A1 APEH ATXN7L2 AUNIP BLMH C19orf47 CALM1 CALM3 CAV1 CDC23 CEBPZ CEP85 CLK2 CLTC CSNK2A2 DAGLA DDR1 E2F1 EED EFNA4 EMSY FARS2 FDPS FEN1 FER FLAD1 GTPBP1 GUK1 HNRNPC HOMEZ KIF2C LANCL2 LIG3 LMO4 MAD2L2 MCM7 MEF2D MFN2 MKRN2 NCL NDE1 NES NFKB2 NOLC1 OBSCN OBSL1 PITPNB PLCG1 POM121 PRIM1 PRKCA PYGO2 RAD51D RAF1 RALY RBM20 RBM6 RBMS2 RGP1 RNF123 RNF187 RSL1D1 SCAP SCRIB SHC1 SLC4A2 SMG5 SNW1 SNX17 SRSF3 TANC1 TCTN3 TLN1 TNS3 TPGS2 TRAP1 TUBA4A TXNDC11 UBXN1 XPO4 ZNF780A
NYAP1	PRX
OBSCN	ANK2 CALM1 CALM2 CALM3 EED FGFR1 MTDH NPHP4 NPPA NXF1 RNF123 SNTA1 TTN
OBSL1	ABCF1 AHNAK ARPC3 ATP5F1B CAPZA2 CASQ2 CCNL1 CCT3 CEBPZ CLTC DDX17 DHX16 DSP EEF1G EIF2AK2 EPPK1 EXOSC4 FAM222A FLOT1 GANAB HNRNPC HNRNPR HNRNPUL2 INTS5 IQCA1L JPH4 LBHD1 MCM7 MDC1 MET MRPS35 MTA2 NCL NES NLE1 NMNAT1 NOLC1 NXF1 PDIK1L PHLDB2 PLEC PLEKHA3 PLOD1 POM121 PPP1R10 PRDM11 PUF60 RALY RPL26L1 RPS8 RSL1D1 SCRIB SELP SMC3 SNW1 SPATS2L SRRT SRSF3 TLN1 TOP1 TRAP1 TRIM56 TTN TUBA4A
OPLAH	CAV3
ORC2	BLZF1 CCNA1 CCNL1 MCM7 NUCKS1 SNW1 STN1
OSBPL9	CHMP4B
OXSR1	ICMT SLFN5 SNW1
PABPN1	EED IGF2BP2 INS LARP1 PAM SNW1
PAM	ANK2 ARL6IP5 ARPC3 CALM1 CALM2 CALM3 CASQ2 CCT3 CD81 CHMP4B CUEDC2 EED KPNA1 MYLIP NES PABPN1 PPP1CC PRKCA PUF60 SCRIB SLC6A4 SORBS1 SSH2 TAGLN3 TTN UHMK1
PAM16	CCDC58 FAM13B HINT2 METTL17 SLIRP TOMM22
PAQR6	MUC1
PARP10	CASP8
PARP15	NRM
PARP9	DTX3L SORT1
PARVA	DDX17 FERMT2 GBF1 SNW1
PBX3	AGTRAP CAV3 CMTM5 FAM222A FKBP7 MEIS1 RHEX
PBXIP1	B3GAT3 CA9 PPTC7 SLC6A4 ST7 TBK1
PCDH7	CAPZA2 CTDSPL DTWD2 MTDH RAF1
PCOLCE	TGM2
PDCD4	APOE CD81
PDE3A	GANAB GMPPB SLC8A1 UBE4B
PDIK1L	OBSL1
PDLIM5	ARHGAP44 GABPB1 GBF1 ID2 ID3 INS PLEC RWDD2B SOCS6 SORBS1 TOM1L2 TPM2 ZC3H7A
PEX10	SCN3B
PHLDB2	CAPZA2 CBY1 CDC25C CLK1 FAM53C GIGYF1 KIF20A LATS2 MAPKAP1 OBSL1 SH3PXD2A SIPA1L1 ZBTB7B
PIK3C3	C19orf47 CALM1 CASP8 GJA1
PILRA	PILRB SORBS1
PILRB	PILRA
PITPNB	ESD LMO4 NXF1 TKT
PITX3	APOE CAVIN2 F5 LBP TFPI
PLA2G7	PTPRN
PLCD1	CALM1 KIF20A PLEC TGM2
PLCG1	CAV1 COPS6 DDR1 EFS EPO FGFR1 ISG20L2 KCNJ5 LIG3 MAPT MET MST1R NXF1 SCAP SELE SH2D1B SHC1 SNX17 SOCS6 TRAIP TRPM7 TTC9B
PLCXD2	PRKAG2
PLD3	FBXO6 GJA1 LTN1 NPHP4
PLEC	ACTR1A AHNAK CAPZA2 CASP8 CASQ2 CAV3 CCNL1 CHMP4B DDX17 DES DSP EED FGFR1 GBF1 KIF20A L1TD1 MAPT MCM7 MET MTDH NPHP4 OBSL1 PDLIM5 PLCD1 PPP1CC PRKCA RBM6 RYR2 SKI SMC3 SNTA1 SNW1 SOCS6 TKT TMIGD1
PLEKHA3	OBSL1
PLN	ATP2A2 ATP6V0E1 CACNA1C CAV3 CREB3 GJA1 MFF MUC1 SLC39A2 TMEM179B TMEM79
PLOD1	CAND2 CHMP4B EED FBXO6 KDM3B LATS2 NHLRC2 OBSL1 PTPRN TCTN1 TCTN3 TOMM22 TOMM40
PLXNA2	MICAL2 TAFA4
PM20D1	NPPA
PMP22	ASIC4 CREB3 EIF2S2 GPR61 HAND1 ID2 IQSEC1 KLF12 MYLIP RER1 SCN3B TGM2 TRDN ZFHX2
PMVK	EED FDPS NKD2 NPPA
PNPLA8	HINT2 METTL17 SLC6A4
POLR2G	CCT3 DES FNDC4 GPN1 GPN3 GTF2H4 INTS5 RPRD1B SLX4
POM121	BSCL2 JPH4 MAD2L2 MARF1 NXF1 OBSL1 TRIP6
POP7	CCDC59 COPS6 MEPCE
PPARGC1A	CREBBP NCL
PPFIA2	MTDH RNF123 SETD6
PPIL1	PPTC7 SNW1
PPIL3	SHARPIN SNW1
PPM1G	APEH ATP5F1B CAV1 MAPT MEPCE PUF60 SBF2 SLX4 STMN1 TLE3 TTC9C VPS29
PPP1CC	APOBEC3B ATP5F1B CAPZA2 CEBPZ CHMP4B CLTC CREBBP DDX17 EED EIF2AK2 EMSY FBXO6 GLB1L GNB2 HNRNPC HSD17B3 KCTD20 KIF20A LARP1 MAPT MRPS18B MST1R NCL NPHP4 NRBP1 PAM PLEC PPP1R10 PPP1R18 PPP1R35 PRKCZ RAF1 RPL22 RPL30 RPL32 RPRD1B RPS8 RSL1D1 RYR2 SCRIB SHOC2 SNW1 SP3 SRRT SRSF3 TUBB ZBTB7B
PPP1R10	ABCF2 FNDC4 OBSL1 PPP1CC
PPP1R18	ABCF1 CAPZA2 CDKN1A CHMP4B DES KIF20A NACA PPP1CC TRIM54
PPP1R35	DCP1A PPP1CC
PPP1R37	DCP1A
PPP1R3E	RNF123
PPRC1	PRKCD
PPTC7	ASF1A CYC1 DCLRE1A PBXIP1 PPIL1 PSMA5
PRDM11	GTF2H4 OBSL1
PRDM14	AKAP9 ATPAF2 CASP8 EED ID3 RAD51D RUSC1 STRN
PRIM1	COPS6 LIPH MDC1 NXF1 STN1
PRKAG2	GANAB PLCXD2 PRSS16
