Entry	Status	Gene names
Q8NG94	reviewed	OR11H1
Q8N148	reviewed	OR6V1
O76099	reviewed	OR7C1 OR7C4
Q8NGR1	reviewed	OR13A1
Q8N945	reviewed	PRELID2
Q9Y5X5	reviewed	NPFFR2 GPR74 NPFF2 NPGPR
E9PKD4	reviewed	NPIPA5
O43913	reviewed	ORC5 ORC5L
Q504Q3	reviewed	PAN2 KIAA0710 USP52
O00623	reviewed	PEX12 PAF3
Q9H4L5	reviewed	OSBPL3 KIAA0704 ORP3 OSBP3
P36957	reviewed	DLST DLTS
Q9BZF1	reviewed	OSBPL8 KIAA1451 ORP8 OSBP10
Q9H1P3	reviewed	OSBPL2 KIAA0772 ORP2
P04629	reviewed	NTRK1 MTC TRK TRKA
Q8WUJ1	reviewed	CYB5D2
P35580	reviewed	MYH10
P56278	reviewed	MTCP1 C6.1B
O94916	reviewed	NFAT5 KIAA0827 TONEBP
Q9H009	reviewed	NACA2 NACAL
O60927	reviewed	PPP1R11 HCGV TCTE5
P62136	reviewed	PPP1CA PPP1A
Q9Y6U7	reviewed	RNF215
P0DH78	reviewed	RNF224
P51151	reviewed	RAB9A RAB9
Q9NRW1	reviewed	RAB6B
Q5TAB7	reviewed	RIPPLY2 C6orf159
Q96QR8	reviewed	PURB
Q96IC2	reviewed	REXO5 44M2.3
P0DJD3	reviewed	RBMY1A1 RBM1 RBM2 YRRM1 YRRM2
Q9HBD1	reviewed	RC3H2 MNAB RNF164
Q14206	reviewed	RCAN2 DSCR1L1 ZAKI4
Q96I51	reviewed	RCC1L WBSCR16
P61970	reviewed	NUTF2 NTF2
Q9Y6X9	reviewed	MORC2 KIAA0852 ZCWCC1
Q9NZM1	reviewed	MYOF FER1L3 KIAA1207
P19474	reviewed	TRIM21 RNF81 RO52 SSA1
Q9Y2J0	reviewed	RPH3A KIAA0985
P19388	reviewed	POLR2E
Q96KN7	reviewed	RPGRIP1
O00411	reviewed	POLRMT
P62910	reviewed	RPL32 PP9932
P61019	reviewed	RAB2A RAB2
Q6ZMZ0	reviewed	RNF19B IBRDC3 NKLAM
P20337	reviewed	RAB3B
Q3YEC7	reviewed	RABL6 C9orf86 PARF
P15153	reviewed	RAC2
O94762	reviewed	RECQL5 RECQ5
Q8TAI7	reviewed	RHEBL1
P48304	reviewed	REG1B PSPS2 REGL
Q2KHR2	reviewed	RFX7 RFXDC2
Q9NZL6	reviewed	RGL1 KIAA0959 RGL
O95294	reviewed	RASAL1 RASAL
O14924	reviewed	RGS12
Q8N2H3	reviewed	PYROXD2 C10orf33
Q16827	reviewed	PTPRO GLEPP1 PTPU2
Q5TD94	reviewed	RSPH4A RSHL3
Q8NBT2	reviewed	SPC24 SPBC24
Q9HCE7	reviewed	SMURF1 KIAA1625
Q9NRG4	reviewed	SMYD2 KMT3C
O95295	reviewed	SNAPIN BLOC1S7 SNAP25BP SNAPAP
Q5T6R2	reviewed	TPTE2P1
Q9BYB0	reviewed	SHANK3 KIAA1650 PROSAP2 PSAP2
Q6R2W3	reviewed	ZBED9 Buster4 KIAA1925 SCAND3 ZNF305P2 ZNF452
Q9UBN6	reviewed	TNFRSF10D DCR2 TRAILR4 TRUNDD UNQ251/PRO288
Q8IVB4	reviewed	SLC9A9 NHE9 Nbla00118
P60880	reviewed	SNAP25 SNAP
P54136	reviewed	RARS
Q9UIB8	reviewed	CD84 SLAMF5
O15079	reviewed	SNPH KIAA0374
Q9Y4P9	reviewed	SPEF1 C20orf28
Q13114	reviewed	TRAF3 CAP1 CRAF1
Q6IEG0	reviewed	SNRNP48 C6orf151
Q6Q759	reviewed	SPAG17
Q9Y5W9	reviewed	SNX11
O43290	reviewed	SART1
Q7M4L6	reviewed	SHF
Q0VDG4	reviewed	SCRN3
Q14159	reviewed	SPIDR KIAA0146
O75159	reviewed	SOCS5 CIS6 CISH5 CISH6 KIAA0671
A0A0C4DH28	reviewed	TRGV4 TCRGV4
Q7Z4K8	reviewed	TRIM46 TRIFIC
O15016	reviewed	TRIM66 C11orf29 KIAA0298
I1YAP6	reviewed	TRIM77 TRIM77P
P09486	reviewed	SPARC ON
Q9UBC9	reviewed	SPRR3 SPRC
Q86UV6	reviewed	TRIM74 TRIM50C
P35716	reviewed	SOX11
P55735	reviewed	SEC13 D3S1231E SEC13A SEC13L1 SEC13R
O94993	reviewed	SOX30
P02549	reviewed	SPTA1 SPTA
P37173	reviewed	TGFBR2
P62241	reviewed	RPS8 OK/SW-cl.83
Q13342	reviewed	SP140 LYSP100
O15020	reviewed	SPTBN2 KIAA0302 SCA5
Q9UGP8	reviewed	SEC63 SEC63L
Q3SY56	reviewed	SP6 KLF14
Q8N9Q2	reviewed	SREK1IP1 P18SRP SFRS12IP1
Q9Y6X0	reviewed	SETBP1 KIAA0437
Q86XZ4	reviewed	SPATS2 SCR59 SPATA10 Nbla00526
P36956	reviewed	SREBF1 BHLHD1 SREBP1
Q59H18	reviewed	TNNI3K CARK
Q96P15	reviewed	SERPINB11
Q9H1N7	reviewed	SLC35B3 C6orf196 PAPST2 CGI-19
Q8N474	reviewed	SFRP1 FRP FRP1 SARP2
Q8NBS3	reviewed	SLC4A11 BTR1
O95359	reviewed	TACC2
Q8IYM2	reviewed	SLFN12
Q01826	reviewed	SATB1
P49368	reviewed	CCT3 CCTG TRIC5
Q9UM54	reviewed	MYO6 KIAA0389
P13533	reviewed	MYH6 MYHCA
Q969W9	reviewed	PMEPA1 STAG1 TMEPAI
P49914	reviewed	MTHFS
Q9BRP8	reviewed	PYM1 PYM WIBG
Q6ZWI9	reviewed	RFPL4B RNF211
P48378	reviewed	RFX2
O75628	reviewed	REM1 GES REM
O14715	reviewed	RGPD8 RANBP2ALPHA RANBP2L1 RANBP2L3
Q5JS13	reviewed	RALGPS1 KIAA0351 RALGEF2
Q86X27	reviewed	RALGPS2
O14949	reviewed	UQCRQ
Q01995	reviewed	TAGLN SM22 WS3-10
Q53LP3	reviewed	SOWAHC ANKRD57 C2orf26
Q8IW03	reviewed	SIAH3
A6NMB1	reviewed	SIGLEC16 SIGLECP16
Q8IY18	reviewed	SMC5 KIAA0594 SMC5L1
Q16559	reviewed	TAL2 BHLHA19
Q969S6	reviewed	TMEM203
Q86UX6	reviewed	STK32C YANK3
Q9UEE5	reviewed	STK17A DRAK1
Q96A49	reviewed	SYAP1 PRO3113
A6NKX4	reviewed	SLC22A31
Q96CQ1	reviewed	SLC25A36
Q8WUT9	reviewed	SLC25A43
P37840	reviewed	SNCA NACP PARK1
Q03519	reviewed	TAP2 ABCB3 PSF2 RING11 Y1
Q8IXB3	reviewed	TRARG1 IFITMD3 LOST1 TUSC5
O14975	reviewed	SLC27A2 ACSVL1 FACVL1 FATP2 VLACS
A6NGZ8	reviewed	SMIM9 CXorf68
Q15569	reviewed	TESK1
Q9UGI8	reviewed	TES
Q9H330	reviewed	TMEM245 C9orf5
A6NEH6	reviewed	TMEM247
Q9NWD8	reviewed	TMEM248 C7orf42
Q8NFU7	reviewed	TET1 CXXC6 KIAA1676 LCX
H0YL14	reviewed	TMEM250 C9orf69
Q6N021	reviewed	TET2 KIAA1546 Nbla00191
Q8TBM7	reviewed	TMEM254 C10orf57
Q8N2U0	reviewed	TMEM256 C17orf61
Q96IP4	reviewed	TENT5A C6orf37 FAM46A XTP11
A0A087WTH1	reviewed	TMEM265
Q0VDI3	reviewed	TMEM267 C5orf28
A0A1B0GTI8	reviewed	TMEM272
Q9UHP6	reviewed	RSPH14 RTDR1
Q658P3	reviewed	STEAP3 TSAP6
Q5T0J7	reviewed	TEX35 C1orf49
Q5VZQ5	reviewed	TEX36 C10orf122
Q96HV5	reviewed	TMEM41A UNQ168/PRO194
Q96LM6	reviewed	TEX37 C2orf51 TSC21
Q5BJD5	reviewed	TMEM41B KIAA0033
Q53QW1	reviewed	TEX44 C2orf57
Q8NA69	reviewed	TEX45 C19orf45
H3BTG2	reviewed	TEX46 C1orf234
Q8TBZ9	reviewed	TEX47 C7orf62
A0A1B0GUV7	reviewed	TEX48
Q96B21	reviewed	TMEM45B
A0A1B0GTD5	reviewed	TEX49
Q9UGM6	reviewed	WARS2
O95807	reviewed	TMEM50A SMP1 UNQ386/PRO718
A0A1B0GU33	reviewed	TEX53
Q96M34	reviewed	TEX55 C3orf30 TSCPA
Q4KMG9	reviewed	TMEM52B C12orf59 UNQ5927/PRO19821
Q8NBN3	reviewed	TMEM87A PSEC0094
Q86UC2	reviewed	RSPH3 RSHL2 RSP3
Q9HD45	reviewed	TM9SF3 SMBP UNQ245/PRO282
Q96EY4	reviewed	TMA16 C4orf43
P32780	reviewed	GTF2H1 BTF2
Q9NZI6	reviewed	TFCP2L1 CRTR1 LBP9
Q96DX4	reviewed	RSPRY1 KIAA1972 UNQ328/PRO444
Q7Z402	reviewed	TMC7
Q8IUE0	reviewed	TGIF2LY TGIFLY
Q92664	reviewed	GTF3A
Q9Y5Q8	reviewed	GTF3C5 CDABP0017
P09110	reviewed	ACAA1 ACAA PTHIO
Q00059	reviewed	TFAM TCF6 TCF6L2
Q9UM00	reviewed	TMCO1 TMCC4 PNAS-10 PNAS-136 UNQ151/PRO177
P0DPE3	reviewed	TMDD1 C12orf81
Q7Z7H5	reviewed	TMED4 ERS25
Q9P0T7	reviewed	TMEM9 DERP4 TMEM9A HSPC186 PSEC0012 UNQ631/PRO1248
P82094	reviewed	TMF1 ARA160
Q8IWL8	reviewed	STH
Q9BZD7	reviewed	PRRG3 PRGP3 TMG3
Q8NEW7	reviewed	TMIE
Q9NX95	reviewed	SYBU GOLSYN KIAA1472
Q5JXX7	reviewed	TMEM31
Q69YG0	reviewed	TMEM42
Q9BTV4	reviewed	TMEM43 UNQ2564/PRO6244
Q9NW97	reviewed	TMEM51 C1orf72
Q969K7	reviewed	TMEM54 BCLP CAC1
P08865	reviewed	RPSA LAMBR LAMR1
Q15468	reviewed	STIL SIL
Q9BUB7	reviewed	TMEM70
Q6P5X7	reviewed	TMEM71
A0PK05	reviewed	TMEM72 C10orf127 KSP37
Q8N9X5	reviewed	TMEM75
Q5T7P6	reviewed	TMEM78
Q96HE8	reviewed	TMEM80
Q96N35	reviewed	LINC00052 NCRNA00052 TMEM83
Q9HCN3	reviewed	TMEM8A PGAP6 TMEM6 TMEM8
Q6ZNR0	reviewed	TMEM91
Q6UXU6	reviewed	TMEM92 UNQ5801/PRO19608
P54577	reviewed	YARS
Q8N816	reviewed	TMEM99
Q8N0S2	reviewed	SYCE1 C10orf94
Q9P246	reviewed	STIM2 KIAA1482
P57727	reviewed	TMPRSS3 ECHOS1 TADG12 UNQ323/PRO382
Q9Y2Z4	reviewed	YARS2 CGI-04
Q9HA77	reviewed	CARS2 OK/SW-cl.10
Q8IZU3	reviewed	SYCP3 SCP3
Q17R31	reviewed	TATDN3
Q7Z4N2	reviewed	TRPM1 LTRPC1 MLSN MLSN1
P60508	reviewed	ERVFRD-1 ERVFRDE1 UNQ6191/PRO20218
O94804	reviewed	STK10 LOK
Q7RTY8	reviewed	TMPRSS7
Q7Z410	reviewed	TMPRSS9
Q86WS5	reviewed	TMPRSS12
Q15831	reviewed	STK11 LKB1 PJS
Q5T4D3	reviewed	TMTC4
Q71RG4	reviewed	TMUB2 FP2653 UNQ1897/PRO4343
Q8NE28	reviewed	STKLD1 C9orf96 SGK071
Q9Y4A5	reviewed	TRRAP PAF400
A6NHL2	reviewed	TUBAL3
P82673	reviewed	MRPS35 MRPS28 HDCMD11P MDS023 PSEC0213
P82930	reviewed	MRPS34
Q7RTU9	reviewed	STRC
Q7Z7N9	reviewed	TMEM179B
P48307	reviewed	TFPI2
P04350	reviewed	TUBB4A TUBB4 TUBB5
Q96C34	reviewed	RUNDC1 LP5161
Q9NQ88	reviewed	TIGAR C12orf5
P60866	reviewed	RPS20
Q9UKN7	reviewed	MYO15A MYO15
Q70IA8	reviewed	MOB3C MOBKL2C
P22897	reviewed	MRC1 CLEC13D CLEC13DL MRC1L1
Q86VX9	reviewed	MON1A SAND1
P0CAP1	reviewed	MYZAP MYOZAP
A0A1W2PS18	reviewed	PMIS2
Q8ND90	reviewed	PNMA1 MA1
A6NI47	reviewed	POTEM
Q02325	reviewed	PLGLB1 PLGL PRGB; PLGLB2 PLGP1
Q9P1Y6	reviewed	PHRF1 KIAA1542
P22626	reviewed	HNRNPA2B1 HNRPA2B1
Q2M238	reviewed	RRN3P1
A6NIN4	reviewed	RNF227 LINC02581
Q6XPR3	reviewed	RPTN
P60153	reviewed	RNASE9
Q7Z6M1	reviewed	RABEPK RAB9P40
Q8N0Z8	reviewed	PUSL1
P61571	reviewed	ERVK-21
Q9BRQ0	reviewed	PYGO2 PP7910
A6NLU0	reviewed	RFPL4A RFPL4 RNF210
O76081	reviewed	RGS20 RGSZ1 ZGAP1
Q53FA7	reviewed	TP53I3 PIG3
Q9H082	reviewed	RAB33B
O00391	reviewed	QSOX1 QSCN6 UNQ2520/PRO6013
Q96S21	reviewed	RAB40C RARL RASL8C
Q9P1G2	reviewed	RBM12B-AS1 C8orf39 PRO1905
Q8IUD2	reviewed	ERC1 ELKS KIAA1081 RAB6IP2
Q13635	reviewed	PTCH1 PTCH
P82980	reviewed	RBP5
Q9UKA9	reviewed	PTBP2 NPTB PTB PTBLP
Q9UBZ9	reviewed	REV1 REV1L
P48764	reviewed	SLC9A3 NHE3
Q9NZH4	reviewed	PTTG3P PTTG3
P10586	reviewed	PTPRF LAR
P35498	reviewed	SCN1A NAC1 SCN1
A6NJR5	reviewed	
Q3KNW1	reviewed	SNAI3 ZNF293
Q8WVK2	reviewed	SNRNP27
Q13077	reviewed	TRAF1 EBI6
P09683	reviewed	SCT
O14545	reviewed	TRAFD1 FLN29
B1AK76	reviewed	SNURFL CXorf19
Q15629	reviewed	TRAM1 TRAM
O00635	reviewed	TRIM38 RNF15 RORET
P14373	reviewed	TRIM27 RFP RNF76
Q99985	reviewed	SEMA3C SEMAE
P60896	reviewed	SEM1 C7orf76 DSS1 SHFDG1 SHFM1
Q9P283	reviewed	SEMA5B KIAA1445 SEMAG UNQ5867/PRO34001
Q9NQ86	reviewed	TRIM36 RBCC728 RNF98
Q9UPQ4	reviewed	TRIM35 HLS5 KIAA1098
Q969Q1	reviewed	TRIM63 IRF MURF1 RNF28 SMRZ
Q9H3T3	reviewed	SEMA6B SEMAN SEMAZ UNQ1907/PRO4353
O94964	reviewed	SOGA1 C20orf117 KIAA0889 SOGA
Q9UJV3	reviewed	MID2 FXY2 RNF60 TRIM1
Q9C026	reviewed	TRIM9 KIAA0282 RNF91
Q6ZPB5	reviewed	SDIM1
Q06945	reviewed	SOX4
Q9BT81	reviewed	SOX7
P11277	reviewed	SPTB SPTB1
Q96JI7	reviewed	SPG11 KIAA1840
Q8NE22	reviewed	SETD9 C5orf35
P01375	reviewed	TNF TNFA TNFSF2
Q7RTT9	reviewed	SLC29A4 ENT4 PMAT PSEC0113
Q53EL9	reviewed	SEZ6
P0CK97	reviewed	SLC35E2A SLC35E2
Q9C0B7	reviewed	TANGO6 KIAA1746 TMCO7
Q13435	reviewed	SF3B2 SAP145
Q15393	reviewed	SF3B3 KIAA0017 SAP130
P19237	reviewed	TNNI1
Q5T1Q4	reviewed	SLC35F1 C6orf169
Q8IY50	reviewed	SLC35F3
Q9H0K1	reviewed	SIK2 KIAA0781 QIK SNF1LK2
Q96KT7	reviewed	SLC35G5 AMAC AMAC1L2
P13805	reviewed	TNNT1 TNT
Q92973	reviewed	TNPO1 KPNB2 MIP1 TRN
K7EJ46	reviewed	SMIM22 CASIMO1
Q9H2H9	reviewed	SLC38A1 ATA1 NAT2 SAT1 SNAT1
P0DJ93	reviewed	SMIM13 C6orf228
Q9Y5L0	reviewed	TNPO3 IPO12
Q9H4F1	reviewed	ST6GALNAC4 SIAT3C SIAT7D
Q8N3H0	reviewed	TAFA2 FAM19A2
Q9Y286	reviewed	SIGLEC7 AIRM1
Q8WU79	reviewed	SMAP2 SMAP1L
Q9BSN7	reviewed	TMEM204 C16orf30 CLP24 UNQ6509/PRO21434
P21453	reviewed	S1PR1 CHEDG1 EDG1
A6NK97	reviewed	SLC22A20P OAT6 SLC22A20
Q8IZD6	reviewed	SLC22A15 FLIPT1 UNQ9429/PRO34686
O14828	reviewed	SCAMP3 C1orf3 PROPIN1
Q3SY17	reviewed	SLC25A52 MCART2
Q9H1U9	reviewed	SLC25A51 MCART1
P52630	reviewed	STAT2
Q7LBE3	reviewed	SLC26A9
P50443	reviewed	SLC26A2 DTD DTDST
Q9NSY2	reviewed	STARD5
P0C1Z6	reviewed	TFPT INO80F
Q9BTF0	reviewed	THUMPD2 C2orf8
Q9P016	reviewed	THYN1 THY28 HSPC144 MDS012 My0054
P35269	reviewed	GTF2F1 RAP74
Q3ZCM7	reviewed	TUBB8
Q13277	reviewed	STX3 STX3A
Q9C0E2	reviewed	XPO4 KIAA1721
Q16623	reviewed	STX1A STX1
Q6P1K8	reviewed	GTF2H2C; GTF2H2C_2 GTF2H2D
Q13009	reviewed	TIAM1
Q9NYW4	reviewed	TAS2R5
Q9BQ70	reviewed	TCF25 KIAA1049 NULP1 FKSG26
P24557	reviewed	TBXAS1 CYP5 CYP5A1
P13385	reviewed	TDGF1 CRIPTO
Q9Y5Z7	reviewed	HCFC2
Q5TF39	reviewed	MFSD4B KIAA1919 NAGLT1 HSPC100
Q08AI8	reviewed	MAB21L4 C2orf54
Q96EY5	reviewed	MVB12A CFBP FAM125A
O60291	reviewed	MGRN1 KIAA0544 RNF156
Q03014	reviewed	HHEX HEX PRH PRHX
P17693	reviewed	HLA-G HLA-6.0 HLAG
P32881	reviewed	IFNA8
Q9NSI5	reviewed	IGSF5 JAM4
Q7Z794	reviewed	KRT77 KRT1B
Q14005	reviewed	IL16
Q6UXK5	reviewed	LRRN1 KIAA1497 Nbla10449 UNQ693/PRO1338
Q9GZP8	reviewed	IMUP C19orf33
Q05315	reviewed	CLC LGALS10 LGALS10A
A1E959	reviewed	ODAM APIN
Q02747	reviewed	GUCA2A GUCA2
Q96GA3	reviewed	LTV1 C6orf93
Q9NVR2	reviewed	INTS10 C8orf35
Q9NQ29	reviewed	LUC7L LUC7L1
Q86TE4	reviewed	LUZP2 UNQ2566/PRO6246
A8MSI8	reviewed	LYRM9 C17orf108 HSD24
Q86UE4	reviewed	MTDH AEG1 LYRIC
O00624	reviewed	SLC17A2 NPT3
Q6UY27	reviewed	PATE2 C11orf38 UNQ3112/PRO10144
Q9HBI1	reviewed	PARVB CGI-56
Q8NHW6	reviewed	OTOS OTOSP
P18669	reviewed	PGAM1 PGAMA CDABP0006
Q9UHJ9	reviewed	PGAP2 FRAG1
O00151	reviewed	PDLIM1 CLIM1 CLP36
P19338	reviewed	NCL
O95848	reviewed	NUDT14 UGPP
O43490	reviewed	PROM1 PROML1 MSTP061
Q15599	reviewed	SLC9A3R2 NHERF2
Q9BUH6	reviewed	PAXX C9orf142 XLS
Q7RTS5	reviewed	OTOP3
Q92786	reviewed	PROX1
Q9BVG4	reviewed	PBDC1 CXorf26
Q96NY9	reviewed	MUS81
Q9BZD4	reviewed	NUF2 CDCA1 NUF2R
Q7Z6L0	reviewed	PRRT2
Q6MZQ0	reviewed	PRR5L PROTOR2
P79522	reviewed	PRR3 CAT56
Q9NZG7	reviewed	NINJ2
Q7RTY5	reviewed	PRSS48 ESSPL
Q9Y5G4	reviewed	PCDHGA9
P26717	reviewed	KLRC2 NKG2C
O95096	reviewed	NKX2-2 NKX2.2 NKX2B
Q13287	reviewed	NMI
Q9UIL8	reviewed	PHF11 BCAP
P78562	reviewed	PHEX PEX
O14818	reviewed	PSMA7 HSPC
P02144	reviewed	MB
Q86TC9	reviewed	MYPN MYOP
Q6DT37	reviewed	CDC42BPG DMPK2
Q9HD47	reviewed	RANGRF MOG1 RANGNRF HSPC165 HSPC236 MDS5
Q9Y4I1	reviewed	MYO5A MYH12
O14974	reviewed	PPP1R12A MBS MYPT1
P40967	reviewed	PMEL D12S53E PMEL17 SILV
Q9UL19	reviewed	PLAAT4 RARRES3 RIG1 TIG3
P61225	reviewed	RAP2B
Q9H0A9	reviewed	SPATC1L C21orf56
Q495Y7	reviewed	SPDYE7P
Q9Y6Q6	reviewed	TNFRSF11A RANK
Q14190	reviewed	SIM2 BHLHE15
Q8TF17	reviewed	SH3TC2 KIAA1985 PP12494
Q9HAV5	reviewed	EDA2R TNFRSF27 XEDAR UNQ2448/PRO5727/PRO34080
A1A4F0	reviewed	SLC66A1L C3orf55 PQLC2L
Q9H2J7	reviewed	SLC6A15 B0AT2 NTT73 SBAT1
Q9GZN6	reviewed	SLC6A16 NTT5
O75494	reviewed	SRSF10 FUSIP1 FUSIP2 SFRS13A TASR
A6NKF1	reviewed	SAC3D1 SHD1
Q9BQI5	reviewed	SGIP1
Q01130	reviewed	SRSF2 SFRS2
Q9HBV2	reviewed	SPACA1 SAMP32
Q5BJF2	reviewed	TMEM97 MAC30 S2R
O14492	reviewed	SH2B2 APS
P11387	reviewed	TOP1
O43147	reviewed	SGSM2 KIAA0397 RUTBC1
A6NDD5	reviewed	SYNDIG1L TMEM90A
Q96B97	reviewed	SH3KBP1 CIN85
Q02880	reviewed	TOP2B
P11388	reviewed	TOP2A TOP2
Q8TBG9	reviewed	SYNPR
Q96PX8	reviewed	SLITRK1 KIAA1910 LRRC12 UNQ233/PRO266
Q86TJ2	reviewed	TADA2B ADA2B
P62304	reviewed	SNRPE
Q16890	reviewed	TPD52L1
O75897	reviewed	SULT1C4 SULT1C2
Q16384	reviewed	SSX1
Q9BVV6	reviewed	KIAA0586 TALPID3
O94966	reviewed	USP19 KIAA0891 ZMYND9
P62753	reviewed	RPS6 OK/SW-cl.2
Q9P273	reviewed	TENM3 KIAA1455 ODZ3 TNM3
Q96AQ2	reviewed	TMEM125
Q9H8V8	reviewed	
Q9NQH7	reviewed	XPNPEP3
P00749	reviewed	PLAU
Q8TD20	reviewed	SLC2A12 GLUT12
P45984	reviewed	MAPK9 JNK2 PRKM9 SAPK1A
Q5S007	reviewed	LRRK2 PARK8
P53778	reviewed	MAPK12 ERK6 SAPK3
P09382	reviewed	LGALS1
P49895	reviewed	DIO1 ITDI1 TXDI1
Q9BVC4	reviewed	MLST8 GBL LST8
Q9H0H0	reviewed	INTS2 KIAA1287
Q9UBP9	reviewed	GULP1 CED6 GULP
Q9NV88	reviewed	INTS9 RC74
P01715	reviewed	IGLV3-1
Q5T749	reviewed	KPRP C1orf45
Q92886	reviewed	NEUROG1 BHLHA6 NEUROD3 NGN NGN1
P35913	reviewed	PDE6B PDEB
Q9HBG7	reviewed	LY9 CDABP0070
P53384	reviewed	NUBP1 NBP NBP1
Q96HS1	reviewed	PGAM5
Q96IV0	reviewed	NGLY1 PNG1
Q96GW7	reviewed	BCAN BEHAB CSPG7 UNQ2525/PRO6018
O43614	reviewed	HCRTR2
Q8WWY3	reviewed	PRPF31 PRP31
Q9UHK0	reviewed	NUFIP1
P52945	reviewed	PDX1 IPF1 STF1
Q9Y2I6	reviewed	NINL KIAA0980 NLP
Q6KC79	reviewed	NIPBL IDN3 SCC2
Q9UN72	reviewed	PCDHA7 CNRS4
Q32P28	reviewed	P3H1 GROS1 LEPRE1 PSEC0109
Q9Y2I1	reviewed	NISCH IRAS KIAA0975
Q86WB0	reviewed	ZC3HC1 NIPA HSPC216
Q9Y5H3	reviewed	PCDHGA10
Q9Y5G6	reviewed	PCDHGA7
Q96P20	reviewed	NLRP3 C1orf7 CIAS1 NALP3 PYPAF1
Q96MG8	reviewed	PCMTD1
Q8WW12	reviewed	PCNP
P51956	reviewed	NEK3
Q96EP9	reviewed	SLC10A4
P69208	reviewed	
Q9NPC6	reviewed	MYOZ2 C4orf5
Q9H3V2	reviewed	MS4A5 CD20L2 TETM4
W6CW81	reviewed	PYDC5 POP3
P35250	reviewed	RFC2
P40938	reviewed	RFC3
Q06141	reviewed	REG3A HIP PAP PAP1
Q8WWW0	reviewed	RASSF5 NORE1 RAPL
Q9H2L5	reviewed	RASSF4 AD037
Q8IV42	reviewed	PSTK C10orf89
P84098	reviewed	RPL19
P49756	reviewed	RBM25 RNPC7
A8MWD9	reviewed	SNRPGP15
Q6ZTW0	reviewed	TPGS1 C19orf20
Q9UP95	reviewed	SLC12A4 KCC1
Q9UDX3	reviewed	SEC14L4 TAP3
Q16348	reviewed	SLC15A2 PEPT2
Q9NY91	reviewed	SLC5A4 SAAT1 SGLT3
Q4U2R8	reviewed	SLC22A6 OAT1 PAHT
Q9H0W8	reviewed	SMG9 C19orf61
P01135	reviewed	TGFA
Q5JRV8	reviewed	TMEM255A FAM70A
Q6ICC9	reviewed	RTL6 LDOC1L MAR6 MART6
P59538	reviewed	TAS2R31 TAS2R44
O00186	reviewed	STXBP3
P61764	reviewed	STXBP1 UNC18A
Q7Z2Z1	reviewed	TICRR C15orf42
Q96EM0	reviewed	L3HYPDH C14orf149
Q59EK9	reviewed	RUNDC3A RAP2IP RPIP8
Q96DN5	reviewed	TBC1D31 WDR67
P53597	reviewed	SUCLG1
Q9UJJ7	reviewed	RPUSD1 C16orf40 RLUCL
Q9UL62	reviewed	TRPC5 TRP5
Q15849	reviewed	SLC14A2 HUT2 UT2
Q9P2Y5	reviewed	UVRAG
Q8TBB0	reviewed	THAP6
Q6YHU6	reviewed	THADA GITA KIAA1767
Q8NA92	reviewed	THAP8
Q8N7M0	reviewed	TCTEX1D1
Q8WW35	reviewed	TCTEX1D2
Q9H3H9	reviewed	TCEAL2 My048 MY0876G0
P50990	reviewed	CCT8 C21orf112 CCTQ KIAA0002
P13010	reviewed	XRCC5 G22P2
Q6P2D8	reviewed	XRRA1
A0AVT1	reviewed	UBA6 MOP4 UBE1L2
P63146	reviewed	UBE2B RAD6B
Q86Y38	reviewed	XYLT1 XT1
P0CB47	reviewed	UBTFL1 C11orf27
Q7Z2X4	reviewed	PID1 NYGGF4 PCLI1 HMFN2073
Q06416	reviewed	POU5F1B OCT4PG1 OTF3C OTF3P1 POU5F1P1 POU5FLC20 POU5FLC8
P68402	reviewed	PAFAH1B2 PAFAHB
Q9Y239	reviewed	NOD1 CARD4
Q9BVI4	reviewed	NOC4L
Q9Y3T9	reviewed	NOC2L NIR
Q53EL6	reviewed	PDCD4 H731
Q9Y2G5	reviewed	POFUT2 C21orf80 FUT13 KIAA0958
P39656	reviewed	DDOST KIAA0115 OST48 OK/SW-cl.45
Q86UW1	reviewed	SLC51A OSTA
A6NI15	reviewed	MSGN1
Q8WUY8	reviewed	NAT14 KLP1
Q8NEY1	reviewed	NAV1 KIAA1151 KIAA1213 POMFIL3 STEERIN1
P41271	reviewed	NBL1 DAN DAND1
Q9H999	reviewed	PANK3
O60934	reviewed	NBN NBS NBS1 P95
Q96RD6	reviewed	PANX2
P0DPF3	reviewed	NBPF9
Q8TBE9	reviewed	NANP C20orf147 HDHD4
O14594	reviewed	NCAN CSPG3 NEUR
O43678	reviewed	NDUFA2
Q14919	reviewed	DRAP1
P0DKB6	reviewed	MPC1L
Q14691	reviewed	GINS1 KIAA0186 PSF1
Q15008	reviewed	PSMD6 KIAA0107 PFAAP4
Q9BZ95	reviewed	NSD3 WHSC1L1 DC28
Q8TCD5	reviewed	NT5C DNT1 UMPH2
P29590	reviewed	PML MYL PP8675 RNF71 TRIM19
Q13163	reviewed	MAP2K5 MEK5 MKK5 PRKMK5
Q9Y3A3	reviewed	MOB4 MOB3 MOBKL3 PHOCN PREI3 CGI-95
Q9P212	reviewed	PLCE1 KIAA1516 PLCE PPLC
Q15771	reviewed	RAB30
Q14644	reviewed	RASA3
P46783	reviewed	RPS10
Q7Z4M0	reviewed	REC114 C15orf60
A1KZ92	reviewed	PXDNL VPO2
O75154	reviewed	RAB11FIP3 ARFO1 KIAA0665
Q00765	reviewed	REEP5 C5orf18 DP1 TB2
