Entry	Status	Gene names
O96006	reviewed	ZBED1 ALTE DREF KIAA0785 TRAMP
A2A288	reviewed	ZC3H12D C6orf95 MCPIP4 TFL
Q53FD0	reviewed	ZC2HC1C C14orf140 FAM164C
Q2T9J0	reviewed	TYSND1
Q8IZN3	reviewed	ZDHHC14
P04818	reviewed	TYMS TS OK/SW-cl.29
Q5W0Z9	reviewed	ZDHHC20
Q92558	reviewed	WASF1 KIAA0269 SCAR1 WAVE1
Q6ICG8	reviewed	WBP2NL PAWP
Q8IX01	reviewed	SUGP2 KIAA0365 SFRS14
P35625	reviewed	TIMP3
Q96CP7	reviewed	TLCD1
Q9Y5J9	reviewed	TIMM8B DDP2 DDPL TIM8B
Q8NHU6	reviewed	TDRD7 PCTAIRE2BP
A8MWL7	reviewed	TMEM14DP TMEM14D
Q9NPI0	reviewed	TMEM138 HSPC196 HSPC198
Q7Z5S9	reviewed	TMEM144
P68036	reviewed	UBE2L3 UBCE7 UBCH7
A6NHS1	reviewed	
P0CI00	reviewed	ZNF705B
Q9UHD9	reviewed	UBQLN2 N4BP4 PLIC2 HRIHFB2157
Q8NHM4	reviewed	PRSS3P2 T6 TRY6
Q14119	reviewed	VEZF1 DB1 ZNF161
Q8TAF3	reviewed	WDR48 KIAA1449 UAF1
O43379	reviewed	WDR62 C19orf14
Q96FK6	reviewed	WDR89 C14orf150 MSTP050
Q8IWA0	reviewed	WDR75 UTP17
Q13360	reviewed	ZNF177
Q9NW82	reviewed	WDR70
Q9BRX9	reviewed	WDR83 MORG1
B1ANS9	reviewed	WDR64
Q96JL9	reviewed	ZNF333 KIAA1806
Q8N9F8	reviewed	ZNF454
Q96JC4	reviewed	ZNF479
Q8TF20	reviewed	ZNF721 KIAA1982
P30536	reviewed	TSPO BZRP MBR
Q9Y6M5	reviewed	SLC30A1 ZNT1
Q8N184	reviewed	ZNF567
Q6UXI7	reviewed	VIT UNQ647/PRO1277
Q6SA08	reviewed	TSSK4 C14orf20 STK22E TSSK5
O43309	reviewed	ZSCAN12 KIAA0426 ZNF305 ZNF96
P33981	reviewed	TTK MPS1 MPS1L1
P02766	reviewed	TTR PALB
Q7Z5L0	reviewed	VMO1 UNQ6350/PRO21055
Q15904	reviewed	ATP6AP1 ATP6IP1 ATP6S1 VATPS1 XAP3
O95497	reviewed	VNN1
O75436	reviewed	VPS26A VPS26
